Date,Open,High,Low,Close,Adj Close,Volume
2014-01-25,1314.140015,1332.680054,1314.140015,1332.680054,1332.680054,13326
2014-01-26,1275.189941,1297.239990,1275.189941,1288.619995,1288.619995,230559
2014-01-27,1399.380005,1399.380005,1353.560059,1377.510010,1377.510010,51670
2014-01-28,1330.680054,1357.839966,1330.680054,1337.719971,1337.719971,37442
2014-01-29,1431.180054,1456.469971,1403.739990,1447.319946,1447.319946,68472
2014-01-30,1381.420044,1381.420044,1335.199951,1335.199951,1335.199951,17584
2014-01-31,1386.630005,1391.969971,1386.630005,1391.969971,1391.969971,1391
2014-02-01,1386.910034,1449.089966,1386.910034,1435.270020,1435.270020,38824
2014-02-02,1425.619995,1451.479980,1419.810059,1449.900024,1449.900024,253718
2014-02-03,1458.420044,1460.020020,1423.380005,1423.380005,1423.380005,67197
2014-02-04,1251.689941,1255.420044,1212.469971,1252.619995,1252.619995,107675
2014-02-05,1416.180054,1416.180054,1372.369995,1397.709961,1397.709961,11768
2014-02-06,1344.660034,1348.719971,1320.280029,1337.550049,1337.550049,53649
2014-02-07,1299.609985,1310.469971,1277.900024,1287.770020,1287.770020,118320
2014-02-08,1142.209961,1159.709961,1142.209961,1159.709961,1159.709961,15319
2014-02-09,1319.150024,1344.030029,1299.229980,1316.160034,1316.160034,77600
2014-02-10,1400.000000,1403.180054,1344.930054,1387.290039,1387.290039,467461
2014-02-11,1211.310059,1225.180054,1189.119995,1225.180054,1225.180054,547986
2014-02-12,1265.910034,1265.910034,1232.469971,1251.579956,1251.579956,22228
2014-02-13,1151.640015,1151.640015,1125.270020,1125.270020,1125.270020,56421
2014-02-14,1174.449951,1179.040039,1139.119995,1139.119995,1139.119995,132787
2014-02-15,1066.880005,1092.239990,1066.880005,1074.189941,1074.189941,6950
2014-02-16,1027.339966,1076.650024,1027.339966,1076.650024,1076.650024,11520
2014-02-17,940.030029,940.030029,886.929993,889.799988,889.799988,35663
2014-02-18,1169.770020,1198.540039,1169.770020,1198.540039,1198.540039,14825
2014-02-19,1085.719971,1085.719971,1065.630005,1065.630005,1065.630005,33482
2014-02-20,994.869995,1013.619995,989.690002,989.690002,989.690002,1989
2014-02-21,1033.900024,1058.900024,1033.900024,1033.900024,1033.900024,46990
2014-02-22,807.270020,822.239990,807.270020,822.239990,822.239990,6758
