Date,Open,High,Low,Close,Adj Close,Volume
2015-08-06,50.810001,1808.189941,50.810001,180.460007,180.460007,9669869
2015-08-07,176.660004,176.660004,40.779999,55.279999,55.279999,39943006
2015-08-08,53.040001,61.669998,38.889999,47.810001,47.810001,35241686
2015-08-09,47.080002,48.459999,38.049999,43.490002,43.490002,25481532
2015-08-10,44.820000,74.660004,41.959999,67.879997,67.879997,100441738
2015-08-11,66.989998,82.260002,51.590000,79.580002,79.580002,143324898
2015-08-12,83.910004,137.059998,75.029999,121.239998,121.239998,282188187
2015-08-13,112.220001,145.300003,107.809998,112.800003,112.800003,251893884
2015-08-14,119.190002,125.000000,100.930000,111.529999,111.529999,158330463
2015-08-15,110.050003,114.500000,72.000000,96.760002,96.760002,232512513
2015-08-16,95.669998,106.110001,76.139999,79.540001,79.540001,109116088
2015-08-17,84.919998,97.529999,78.070000,94.120003,94.120003,126985072
2015-08-18,72.879997,80.580002,70.790001,79.080002,79.080002,92574664
2015-08-19,88.349998,103.540001,83.180000,99.809998,99.809998,195072424
2015-08-20,90.430000,96.970001,82.230003,88.610001,88.610001,118209022
2015-08-21,114.769997,122.800003,108.480003,112.129997,112.129997,71801084
2015-08-22,88.330002,91.970001,81.040001,86.830002,86.830002,100329568
2015-08-23,78.779999,81.300003,73.830002,78.000000,78.000000,53425578
2015-08-24,90.239998,91.250000,76.959999,81.129997,81.129997,81405975
2015-08-25,80.489998,81.519997,72.739998,78.339996,78.339996,71145756
2015-08-26,76.629997,77.919998,74.349998,75.639999,75.639999,41206805
2015-08-27,79.279999,81.309998,77.639999,79.900002,79.900002,44214408
2015-08-28,77.769997,78.940002,76.099998,78.449997,78.449997,24029905
2015-08-29,78.459999,91.459999,77.199997,88.230003,88.230003,84286789
2015-08-30,89.419998,96.099998,80.690002,90.629997,90.629997,92660151
2015-08-31,89.480003,93.010002,88.459999,90.290001,90.290001,47355477
2015-09-01,90.900002,91.400002,84.120003,86.199997,86.199997,55641070
2015-09-02,84.860001,86.900002,79.050003,83.870003,83.870003,45081046
2015-09-03,86.099998,88.809998,83.489998,85.470001,85.470001,29694114
2015-09-04,86.970001,90.360001,86.379997,88.919998,88.919998,26203005
2015-09-05,91.070000,92.099998,86.510002,87.430000,87.430000,29867187
2015-09-06,87.610001,88.330002,82.620003,83.750000,83.750000,29614157
2015-09-07,84.750000,85.779999,82.239998,82.610001,82.610001,24217820
2015-09-08,81.190002,84.980003,80.099998,81.660004,81.660004,23586465
2015-09-09,81.430000,81.830002,75.410004,78.160004,78.160004,39378377
2015-09-10,83.629997,84.279999,64.989998,69.680000,69.680000,128498671
2015-09-11,60.730000,70.320000,60.330002,66.000000,66.000000,46533800
2015-09-12,69.150002,69.940002,60.770000,63.759998,63.759998,41269414
2015-09-13,78.379997,80.029999,72.070000,73.160004,73.160004,56409494
2015-09-14,55.070000,62.970001,54.310001,59.529999,59.529999,42519560
2015-09-15,60.680000,61.169998,57.849998,58.299999,58.299999,36971550
2015-09-16,62.500000,62.880001,55.820000,60.189999,60.189999,58189151
2015-09-17,59.330002,59.939999,55.459999,57.099998,57.099998,30252058
2015-09-18,55.990002,60.689999,54.889999,58.779999,58.779999,24551675
2015-09-19,59.930000,63.799999,58.810001,63.459999,63.459999,31817551
2015-09-20,62.790001,64.599998,59.549999,61.500000,61.500000,27423316
2015-09-21,60.110001,61.650002,55.080002,58.790001,58.790001,29361249
2015-09-22,58.590000,59.279999,57.430000,58.529999,58.529999,12605873
2015-09-23,61.630001,62.610001,48.270000,55.139999,55.139999,52112109
2015-09-24,52.049999,52.779999,41.930000,47.099998,47.099998,53296841
2015-09-25,47.290001,50.490002,44.669998,49.889999,49.889999,23412707
2015-09-26,51.709999,52.740002,47.700001,48.290001,48.290001,26299126
2015-09-27,42.750000,43.110001,31.730000,33.880001,33.880001,67929305
2015-09-28,38.570000,46.180000,36.500000,43.740002,43.740002,60091977
2015-09-29,43.540001,49.970001,41.389999,47.459999,47.459999,39497622
2015-09-30,47.709999,49.200001,40.790001,45.110001,45.110001,37632622
2015-10-01,44.810001,45.590000,42.599998,44.480000,44.480000,13170638
2015-10-02,55.980000,58.630001,55.430000,56.430000,56.430000,12874694
2015-10-03,41.000000,41.570000,39.459999,39.810001,39.810001,6088805
2015-10-04,43.599998,44.709999,40.200001,40.840000,40.840000,13530786
2015-10-05,40.639999,41.540001,37.939999,41.340000,41.340000,15948553
2015-10-06,42.500000,43.279999,39.119999,40.169998,40.169998,12824970
2015-10-07,38.389999,40.360001,36.790001,39.020000,39.020000,18484810
2015-10-08,39.209999,43.680000,39.180000,40.759998,40.759998,22544993
2015-10-09,42.270000,42.779999,40.520000,40.619999,40.619999,8970707
2015-10-10,40.759998,41.770000,40.189999,40.860001,40.860001,5470926
2015-10-11,38.759998,40.439999,38.410000,38.700001,38.700001,6484361
2015-10-12,41.430000,41.770000,38.820000,39.290001,39.290001,17623724
2015-10-13,39.910000,40.619999,31.090000,33.349998,33.349998,56635549
2015-10-14,32.360001,36.290001,32.250000,35.090000,35.090000,23570849
2015-10-15,37.560001,38.459999,34.000000,34.580002,34.580002,15231393
2015-10-16,34.349998,36.060001,32.939999,34.470001,34.470001,17615674
2015-10-17,33.810001,34.340000,32.360001,32.930000,32.930000,8132166
2015-10-18,32.830002,33.080002,30.190001,30.790001,30.790001,14490203
2015-10-19,30.980000,31.920000,26.549999,26.990000,26.990000,20321789
2015-10-20,26.850000,30.580000,25.870001,27.420000,27.420000,34001024
2015-10-21,29.129999,41.450001,27.389999,37.830002,37.830002,61390220
2015-10-22,39.029999,41.980000,32.980000,34.220001,34.220001,52996949
2015-10-23,30.760000,34.130001,30.410000,33.279999,33.279999,14843263
2015-10-24,37.330002,43.750000,35.900002,41.580002,41.580002,37634127
2015-10-26,41.049999,51.650002,38.110001,47.209999,47.209999,69416139
2015-10-27,50.340000,60.099998,47.250000,57.099998,57.099998,107723529
2015-10-28,57.790001,71.470001,51.900002,65.080002,65.080002,131298498
2015-10-29,69.089996,81.860001,63.810001,77.180000,77.180000,123425995
2015-10-30,78.370003,86.720001,60.470001,67.080002,67.080002,128710762
2015-10-31,67.260002,68.870003,59.490002,60.759998,60.759998,32951374
2015-11-01,61.680000,71.330002,59.700001,69.889999,69.889999,32614630
2015-11-02,68.669998,70.900002,55.130001,56.669998,56.669998,56934874
2015-11-03,68.610001,74.769997,56.919998,64.209999,64.209999,116998478
2015-11-04,72.820000,74.070000,41.529999,62.790001,62.790001,222894834
2015-11-05,60.310001,71.669998,57.380001,64.760002,64.760002,83786386
2015-11-06,57.639999,66.070000,55.490002,61.459999,61.459999,57823360
2015-11-07,57.380001,57.820000,51.000000,55.090000,55.090000,50896871
2015-11-08,59.950001,69.650002,59.549999,69.089996,69.089996,64804139
2015-11-09,69.089996,76.419998,61.279999,66.300003,66.300003,124504427
2015-11-10,114.930000,124.279999,111.919998,119.739998,119.739998,102947976
2015-11-11,70.669998,72.599998,58.480000,65.949997,65.949997,95754374
2015-11-12,49.480000,53.720001,45.689999,51.680000,51.680000,44727898
2015-11-13,57.470001,58.869999,54.459999,57.470001,57.470001,23397931
2015-11-14,60.000000,61.930000,58.720001,59.910000,59.910000,12580806
2015-11-15,54.990002,59.299999,54.730000,58.450001,58.450001,14362637
2015-11-16,63.230000,65.620003,59.779999,63.279999,63.279999,31869544
